1_0_0_1_0_0_463159_0_0_0               |                                                   |  1_0_0_463159=simayazadiirannationaltv                   |  =--------
1_0_19_1_0_0_82ABC0_0_0_0              |  11200V                                           |  1_0_0_82ABC0=--------                                   |  11200v=--------
1_0_64_BD1_EA74_1_CE40000_0_0_0        |  11222H SID 0xbd1                                 |  BD1_EA74_1_CE40000=--------                             |  11222h sid 0xbd1=--------
1_0_64_BD2_EA74_1_CE40000_0_0_0        |  11222H SID 0xbd2                                 |  BD2_EA74_1_CE40000=--------                             |  11222h sid 0xbd2=--------
1_0_64_BD3_EA74_1_CE40000_0_0_0        |  11222H SID 0xbd3                                 |  BD3_EA74_1_CE40000=--------                             |  11222h sid 0xbd3=--------
1_0_64_BD4_EA74_1_CE40000_0_0_0        |  11222H SID 0xbd4                                 |  BD4_EA74_1_CE40000=--------                             |  11222h sid 0xbd4=--------
1_0_64_BDB_EA74_1_CE40000_0_0_0        |  11222H SID 0xbdb                                 |  BDB_EA74_1_CE40000=--------                             |  11222h sid 0xbdb=--------
1_0_64_BDC_EA74_1_CE40000_0_0_0        |  11222H SID 0xbdc                                 |  BDC_EA74_1_CE40000=--------                             |  11222h sid 0xbdc=--------
1_0_64_BDD_EA74_1_CE40000_0_0_0        |  11222H SID 0xbdd                                 |  BDD_EA74_1_CE40000=--------                             |  11222h sid 0xbdd=--------
1_0_64_BDE_EA74_1_CE40000_0_0_0        |  11222H SID 0xbde                                 |  BDE_EA74_1_CE40000=--------                             |  11222h sid 0xbde=--------
1_0_64_BEA_EA74_1_CE40000_0_0_0        |  11222H SID 0xbea                                 |  BEA_EA74_1_CE40000=--------                             |  11222h sid 0xbea=--------
1_0_64_BF4_EA74_1_CE40000_0_0_0        |  11222H SID 0xbf4                                 |  BF4_EA74_1_CE40000=--------                             |  11222h sid 0xbf4=--------
1_0_64_FFFE_EA74_1_CE40000_0_0_0       |  11222H SID 0xfffe                                |  FFFE_EA74_1_CE40000=--------                            |  11222h sid 0xfffe=--------
1_0_19_1_C8_13E_820000_0_0_0           |  11240V                                           |  1_C8_13E_820000=--------                                |  11240v=--------
1_0_64_4F49_441_0_64ABF2_0_0_0         |  11250V SID 0x4f49                                |  4F49_441_0_64ABF2=--------                              |  11250v sid 0x4f49=--------
1_0_64_4F4A_441_0_64ABF2_0_0_0         |  11250V SID 0x4f4a                                |  4F4A_441_0_64ABF2=--------                              |  11250v sid 0x4f4a=--------
1_0_64_5014_441_0_64ABF2_0_0_0         |  11250V SID 0x5014                                |  5014_441_0_64ABF2=--------                              |  11250v sid 0x5014=--------
1_0_64_76BD_441_0_64ABF2_0_0_0         |  11250V SID 0x76bd                                |  76BD_441_0_64ABF2=--------                              |  11250v sid 0x76bd=--------
1_0_64_76BE_441_0_64ABF2_0_0_0         |  11250V SID 0x76be                                |  76BE_441_0_64ABF2=--------                              |  11250v sid 0x76be=--------
1_0_64_7724_441_0_64ABF2_0_0_0         |  11250V SID 0x7724                                |  7724_441_0_64ABF2=--------                              |  11250v sid 0x7724=--------
1_0_64_7725_441_0_64ABF2_0_0_0         |  11250V SID 0x7725                                |  7725_441_0_64ABF2=--------                              |  11250v sid 0x7725=--------
1_0_64_9C40_441_0_64ABF2_0_0_0         |  11250V SID 0x9c40                                |  9C40_441_0_64ABF2=--------                              |  11250v sid 0x9c40=--------
1_0_2_3327_190_13E_820000_0_0_0        |  11278V SID 0x3327                                |  3327_190_13E_820000=--------                            |  11278v sid 0x3327=--------
1_0_64_CC6_EA76_1_CE40000_0_0_0        |  11302H SID 0xcc6                                 |  CC6_EA76_1_CE40000=--------                             |  11302h sid 0xcc6=--------
1_0_64_CC7_EA76_1_CE40000_0_0_0        |  11302H SID 0xcc7                                 |  CC7_EA76_1_CE40000=--------                             |  11302h sid 0xcc7=--------
1_0_64_CC8_EA76_1_CE40000_0_0_0        |  11302H SID 0xcc8                                 |  CC8_EA76_1_CE40000=--------                             |  11302h sid 0xcc8=--------
1_0_64_CC9_EA76_1_CE40000_0_0_0        |  11302H SID 0xcc9                                 |  CC9_EA76_1_CE40000=--------                             |  11302h sid 0xcc9=--------
