1_0_16_17F5_C_55_300000_0_0_0           |  BOLT                                             |  17F5_C_55_300000=--------                               |  bolt=bolt
1_0_19_1_1_1_CE42AA2_0_0_0              |  BOM                                              |  1_1_1_CE42AA2=--------                                  |  bom=bom
1_0_1_1_1_1_CE42AA2_0_0_0               |  BOM                                              |  1_1_1_CE42AA2=--------                                  |  bom=bom
1_0_16_1C01_384_110_5A0000_0_0_0        |  BOM CHANNEL                                      |  1C01_384_110_5A0000=--------                            |  bomchannel=bomchannel
1_0_1_6DCE_44D_1_C00000_0_0_0           |  BR Fernsehen Nord                                |  6DCE_44D_1_C00000=--------                              |  brfernsehennord=bayerischesfernsehen
1_0_19_2856_401_1_C00000_0_0_0          |  BR Fernsehen Nord HD                             |  2856_401_1_C00000=--------                              |  brfernsehennordhd=bayerischesfernsehenhd
1_0_1_6DCB_44D_1_C00000_0_0_0           |  BR Fernsehen Sud                                 |  6DCB_44D_1_C00000=--------                              |  brfernsehensud=bayerischesfernsehen
1_0_19_2855_401_1_C00000_0_0_0          |  BR Fernsehen Sud HD                              |  2855_401_1_C00000=--------                              |  brfernsehensudhd=bayerischesfernsehenhd
1_0_1F_466_B11_39E_1860000_0_0_0        |  BRAZZERS TV Europe                               |  466_B11_39E_1860000=--------                            |  brazzerstveurope=brazzerstv
1_0_1_5AF0_17_FD_1680000_0_0_0          |  BRIDGE                                           |  5AF0_17_FD_1680000=--------                             |  bridge=--------
1_0_1_5ADC_17_FD_1680000_0_0_0          |  BRIDGE ??????? ???                               |  5ADC_17_FD_1680000=--------                             |  bridge=--------
1_0_1_2722_1_FD_1680000_0_0_0           |  BRIDGE HITS                                      |  2722_1_FD_1680000=--------                              |  bridgehits=--------
1_0_1_329_CE_1_3200000_0_0_0            |  BRIDGE TV                                        |  329_CE_1_3200000=--------                               |  bridgetv=--------
1_0_1_1A2_CA_1_3200000_0_0_0            |  BRIDGE TV ??????? ???                            |  1A2_CA_1_3200000=--------                               |  bridgetv=--------
1_0_1_2CC_CD_1_3200000_0_0_0            |  BRIDGE TV Classic                                |  2CC_CD_1_3200000=--------                               |  bridgetvclassic=--------
1_0_1_677_9FC4_16E_A00000_0_0_0         |  BRIO                                             |  677_9FC4_16E_A00000=--------                            |  brio=brio
1_0_1_CF0A_7AAA_42E_1A40000_0_0_0       |  BRT 1 HD                                         |  CF0A_7AAA_42E_1A40000=--------                          |  brt1hd=brt1hd
1_0_1_CF09_7AAA_42E_1A40000_0_0_0       |  BRT 2 HD                                         |  CF09_7AAA_42E_1A40000=--------                          |  brt2hd=brt2hd
1_0_1_CF08_7AAA_42E_1A40000_0_0_0       |  BRT 3                                            |  CF08_7AAA_42E_1A40000=--------                          |  brt3=brt3
1_0_1_3917_A21D_42E_1A40000_0_0_0       |  BRTV ANADOLU                                     |  3917_A21D_42E_1A40000=--------                          |  brtvanadolu=--------
1_0_1F_CF_B2_39E_1860000_0_0_0          |  BSTV                                             |  CF_B2_39E_1860000=--------                              |  bstv=bulgarskasvobodnatv
1_0_16_17FE_C_55_300000_0_0_0           |  BTQ                                              |  17FE_C_55_300000=--------                               |  btq=beautytrustquality
1_0_1_27A1_C9_55_300000_0_0_0           |  BTV                                              |  27A1_C9_55_300000=btv                                   |  btv=btv-wispelutri
1_0_1_EDE_26_36_CE40000_0_0_0           |  BTV 1 HD                                         |  EDE_26_36_CE40000=--------                              |  btv1hd=btv1
1_0_1_1_1_FFFF_2ADB171_0_0_0            |  BTV ENC B                                        |  1_1_FFFF_2ADB171=--------                               |  btvencb=--------
1_0_1_17C3_26_36_CE40000_0_0_0          |  BTV HD                                           |  17C3_26_36_CE40000=--------                             |  btvhd=btv1
1_0_1_3F_2_1_D70000_0_0_0               |  BTV-HD                                           |  3F_2_1_D70000=beijingtv                                 |  btvhd=btv1
1_0_1_FAB_107_217C_5A0000_0_0_0         |  BUSINESS24                                       |  FAB_107_217C_5A0000=--------                            |  business24=--------
1_0_1_FAB_107_217C_DDE0000_0_0_0        |  BUSINESS24                                       |  FAB_107_217C_DDE0000=--------                           |  business24=--------
1_0_11_3CB7_C5A8_2A_1A40000_0_0_0       |  BU_T                                             |  3CB7_C5A8_2A_1A40000=--------                           |  but=--------
1_0_16_782_C6D4_16E_A00000_0_0_0        |  BabesTV                                          |  782_C6D4_16E_A00000=--------                            |  babestv=babestv
1_0_1_315B_459_1_C00000_0_0_0           |  Babestation24                                    |  315B_459_1_C00000=--------                              |  babestation24=babestation24
1_0_16_14B6_D403_20BF_EEEE0000_0_0_0    |  Baby TV                                          |  14B6_D403_20BF_EEEE0000=--------                        |  babytv=babytv
1_0_16_26D_C418_16E_A00000_0_0_0        |  Baby TV                                          |  26D_C418_16E_A00000=--------                            |  babytv=babytv
1_0_16_27F_C418_16E_A00000_0_0_0        |  Baby TV                                          |  27F_C418_16E_A00000=--------                            |  babytv=babytv
1_0_1F_471_B11_39E_1860000_0_0_0        |  Baby TV                                          |  471_B11_39E_1860000=--------                            |  babytv=babytv
1_0_1_12F0_30_36_CE40000_0_0_0          |  Baby TV                                          |  12F0_30_36_CE40000=--------                             |  babytv=babytv
1_0_1_17BD_30_36_CE40000_0_0_0          |  Baby TV                                          |  17BD_30_36_CE40000=--------                             |  babytv=babytv
1_0_1_1A7_A_2_130000_0_0_0              |  Baby TV                                          |  1A7_A_2_130000=--------                                 |  babytv=babytv
1_0_1_20B_5_22C7_EEEE0000_0_0_0         |  Baby TV                                          |  20B_5_22C7_EEEE0000=--------                            |  babytv=babytv
1_0_1_430_2_AA_5A0000_0_0_0             |  Baby TV                                          |  430_2_AA_5A0000=--------                                |  babytv=babytv
1_0_1_4F24_C81_3_EB0000_0_0_0           |  Baby TV                                          |  4F24_C81_3_EB0000=--------                              |  babytv=babytv
1_0_1_53B_3D54_13E_820000_0_0_0         |  Baby TV                                          |  53B_3D54_13E_820000=--------                            |  babytv=babytv
1_0_1_C_3_1_1860000_0_0_0               |  Baby TV                                          |  C_3_1_1860000=--------                                  |  babytv=babytv
1_0_1_E8_25E4_D5_820000_0_0_0           |  Baby TV                                          |  E8_25E4_D5_820000=--------                              |  babytv=babytv
1_0_1_E8_2_D5_1C20000_0_0_0             |  Baby TV                                          |  E8_2_D5_1C20000=--------                                |  babytv=babytv
1_0_16_34_1_40_A00000_0_0_0             |  Baby TV.                                         |  34_1_40_A00000=--------                                 |  babytv=babytv
1_0_1_17D8_7DB_2_11A0000_0_0_0          |  BabyTV                                           |  17D8_7DB_2_11A0000=--------                             |  babytv=babytv
1_0_1_778A_424_1_C00000_0_0_0           |  BabyTV                                           |  778A_424_1_C00000=--------                              |  babytv=babytv
1_0_1_7E8_1_FFFF_DCAAAA9_0_0_0          |  Bahia TV                                         |  7E8_1_FFFF_DCAAAA9=--------                             |  bahiatv=bahiatv
1_0_1_2_202_2BE_1040000_0_0_0           |  Bahrain International HD                         |  2_202_2BE_1040000=--------                              |  bahraininternationalhd=--------
1_0_1_6_202_2BE_1040000_0_0_0           |  Bahrain Quran HD                                 |  6_202_2BE_1040000=--------                              |  bahrainquranhd=--------
1_0_1_3_202_2BE_1040000_0_0_0           |  Bahrain Sport 1 HD                               |  3_202_2BE_1040000=--------                              |  bahrainsport1hd=bahrainsport1
1_0_1_4_202_2BE_1040000_0_0_0           |  Bahrain Sport 2 HD                               |  4_202_2BE_1040000=--------                              |  bahrainsport2hd=bahrainsport2
1_0_1_18_0_0_1CC2B57_0_0_0              |  Baku TV                                          |  18_0_0_1CC2B57=--------                                 |  bakutv=--------
1_0_19_4E39_C8B_3_EB0000_0_0_0          |  Balkan Sport 1                                   |  4E39_C8B_3_EB0000=--------                              |  balkansport1=--------
1_0_1_4EA5_CA4_3_EB0000_0_0_0           |  Balkan Sport 2                                   |  4EA5_CA4_3_EB0000=--------                              |  balkansport2=--------
1_0_1_4ED8_C81_3_EB0000_0_0_0           |  Balkan Sport 3                                   |  4ED8_C81_3_EB0000=--------                              |  balkansport3=--------
1_0_1_4E56_C81_3_EB0000_0_0_0           |  Balkan Trip                                      |  4E56_C81_3_EB0000=--------                              |  balkantrip=balkantrip
1_0_16_5A_3_40_A00000_0_0_0             |  Balkan Trip.                                     |  5A_3_40_A00000=--------                                 |  balkantrip=balkantrip
1_0_1_6F_1_D5_1C20000_0_0_0             |  Balkanika                                        |  6F_1_D5_1C20000=--------                                |  balkanika=balkanikamusictelevision
1_0_1_6F_251C_D5_820000_0_0_0           |  Balkanika                                        |  6F_251C_D5_820000=--------                              |  balkanika=balkanikamusictelevision
1_0_1_7B_4_1_1860000_0_0_0              |  Balkanika                                        |  7B_4_1_1860000=--------                                 |  balkanika=balkanikamusictelevision
